ts,providerid,click,revenue
2017071020,10,6325,10005.530055134745
2017071507,26,14,0.47842299999999993
2017071714,21,8,26.480000655371562
2017071721,800000000,2941,0
2017071921,16,6,7.0605080000000005
2017072207,19,12,0.21
2017072318,8,37,31.620000107684685
2017080121,21,18,41.02000091768359
2017080609,6,9,12.119999859671216
2017080705,12,362,48.49826699999993
2017080719,26,4,0.320442
2017081419,19,3,0.17
2017071418,800000000,2816,0
2017071618,16,1,1.98
2017071700,8,62,84.20000002638359
2017071810,28,1932,0
2017072303,26,6,0.56754
2017072510,21,1,0.7599999572574094
2017072621,10,7351,9041.610023683086
2017073003,19,7,0.19999999999999998
2017073114,8,52,101.14999927299507
2017080801,19,7,0.08
2017080912,8,57,147.66000009503534
2017081308,31,844,0
2017081405,6,32,163.59000425404867
2017081501,12,232,43.64333699999999
2017081515,26,1,0.167371
2017070320,19,6,0.099422
2017070800,800000000,2395,0
2017070904,10,2211,3935.3700256402158
2017071020,12,176,36.48173500000001
2017071507,28,993,0
2017072207,21,2,0.039999999890909584
2017072214,800000000,3760,0
2017072318,10,5314,6747.579975565084
2017072414,16,1,0.968674
2017080609,8,16,40.56000100766146
2017080719,28,2103,0
2017081419,21,18,41.649999396311294
2017081514,58,1,0.1824
2017071506,60,48729,10420.661059110109
2017071700,10,3575,4726.820040733385
2017071921,19,19,0.4700000000000001
2017072303,28,936,0
2017072621,12,227,37.067021000000004
2017073003,21,4,5.579999750734074
2017073010,800000000,3073,0
2017073114,10,9927,14016.67006570548
2017080718,60,129768,35726.394602258384
2017080801,21,6,1.9800000670143436
2017080912,10,6803,10942.950034374315
2017081405,8,11,31.890000404688102
2017081515,28,1412,0
2017070113,26,6,0.750722
2017070320,21,46,134.7000059954917
2017070808,6,10,39.030001086513735
2017070904,12,98,15.928751999999996
2017070918,26,9,0.7635369999999999
2017071618,19,28,0.6700000000000002
2017071810,31,1194,0
2017072302,60,104531,21978.842285997656
2017072318,12,152,29.581600000000016
2017080505,800000000,3877,0
2017080609,10,2822,3563.2699688589164
2017081514,60,98438,28558.999163647764
2017070917,58,1,0
2017071507,31,555,0
2017071604,6,29,16.31000029292809
2017071700,12,224,37.762528
2017071714,26,37,1.5063410000000004
2017071921,21,17,25.170000138169396
2017072414,19,30,0.47613400000000017
2017073018,6,16,28.92000016047911
2017073114,12,157,34.49388700000001
2017080121,26,1,0.090726
2017080719,31,2579,0
2017080816,6,34,72.21000079306165
2017080912,12,63,
2017081301,800000000,3261,0
2017081405,10,2308,3802.199993136079
2017081501,16,1,0.429729
2017070113,28,1540,0
2017070808,8,20,48.27000094487104
2017070918,28,815,0
2017071020,16,6,3.940228
2017071618,21,1,5.479999841054286
2017072303,31,1252,0
2017072400,6,28,23.089999577867403
2017072510,26,5,0.276184
2017080609,12,34,4.086196999999999
2017081515,31,1789,0
2017070112,60,76666,18550.30515942919
2017070917,60,102346,26601.910219476602
2017071604,8,19,12.780000150305325
2017071714,28,1537,0
2017072207,26,1,0.131435
2017072414,21,18,82.43000089538417
2017072421,800000000,2813,0
2017072621,16,3,1.937168
2017073018,8,47,85.10999965500741
2017080121,28,1049,0
2017080705,19,3,0.15000000000000002
2017080816,8,73,125.21000102006246
2017081309,6,17,33.290000295306
2017081405,12,56,7.994369999999999
2017081419,26,2,0
2017070704,800000000,2289,0
2017070808,10,1992,3193.2900171430047
2017071713,60,89315,25735.454022247734
2017072118,800000000,2877,0
2017072318,16,2,1.907473
2017072400,8,44,54.73999987491904
2017072510,28,2027,0
2017073003,26,3,0.847791
2017080120,60,124998,32512.5788237878
2017080801,26,1,0.073153
2017081418,58,7,1.2768000000000002
2017081501,19,7,0.25
2017070113,31,4260,0
2017070210,6,16,58.56000126337217
2017070320,26,19,1.9701629999999999
2017070918,31,1843,0
2017071020,19,7,0.18000000000000002
2017071500,800000000,3113,0
2017071604,10,2547,4691.330036012439
2017071700,16,3,1.224816
2017072207,28,1286,0
2017073018,10,6923,9131.750097512895
2017073114,16,5,14.056967
2017080712,800000000,5644,0
2017080800,58,9,0
2017080816,10,10121,14370.640053296387
2017080912,16,7,
2017081309,8,14,12.589999991868542
2017081419,28,1249,0
2017070808,12,40,7.4837669999999985
2017071714,31,1870,0
2017071811,6,15,8.930000088291754
2017071921,26,25,2.1547940000000008
2017072206,60,47809,9746.383098866687
2017072400,10,3700,5076.599993073049
2017072621,19,3,0.03
2017073003,28,874,0
2017080121,31,2892,0
2017080409,800000000,4331,0
2017080609,16,7,4.5402450000000005
2017080801,28,1089,0
2017081418,60,119956,33947.58503741881
2017081501,21,2,7.819999804447096
2017070210,8,24,49.69000033025273
2017070320,28,1080,0
2017070904,19,6,0.15000000000000002
2017071020,21,77,171.51999769424796
2017071508,6,9,20.09000032606476
2017071604,12,115,23.75266100000001
2017071618,26,26,0.9461920000000003
2017072318,19,29,0.5000000000000001
2017072510,31,1202,0
2017073002,60,102959,21865.228088179243
2017073018,12,194,38.175323999999996
2017080800,60,162669,30455.759815512196
2017080816,12,222,40.07635800000001
2017081205,800000000,5441,0
2017081309,10,2287,3152.4100118885435
2017081405,16,1,3.258396
2017071700,19,22,0.3999400000000001
2017071811,8,42,64.99999970622748
2017071921,28,1096,0
2017072207,31,491,0
2017072304,6,30,40.160000792725185
2017072400,12,203,42.32650599999999
2017072414,26,21,1.7586719999999996
2017072621,21,8,12.239999991128013
2017073114,19,4,0.09000000000000001
2017080912,19,3,
2017081419,31,2197,0
2017081516,6,13,79.38000080266684
2017070210,10,2550,3767.380030413863
2017070904,21,6,7.709999885157307
2017070911,800000000,2867,0
2017071508,8,23,10.379999755092049
2017071618,28,1146,0
2017071920,60,124351,32461.251740708307
2017072318,21,5,10.130000630762664
2017072413,58,1,0
2017073003,31,2317,0
2017073100,6,20,18.84999953998426
2017080609,19,2,0.07
2017080801,31,3402,0
2017081309,12,28,4.56867
2017070320,31,3541,0
2017070608,800000000,3317,0
2017070808,16,3,4.824189
2017071617,60,104359,27070.68408188218
2017071811,10,4523,6123.3700109532465
2017072304,8,37,49.730000205095685
2017072414,28,1993,0
2017073114,21,4,29.909999557323452
2017073121,800000000,2746,0
2017080705,26,2,0.213628
2017081516,8,14,11.730000172089682
2017070114,6,15,46.800000911373296
2017070210,12,23,2.8942740000000002
2017070919,6,25,40.95000046375259
2017071404,800000000,2236,0
2017071508,10,2050,2895.1800130546703
2017071921,31,1733,0
2017072413,60,95166,26064.37497139581
2017073018,16,5,9.928697999999999
2017073100,8,64,45.69000039261207
2017080616,800000000,4769,0
2017080816,16,9,17.345363
2017081501,26,13,1.022975
2017070223,58,1,0
2017071020,26,23,0.9883200000000002
2017071618,31,1668,0
2017071715,6,40,34.950000959653735
2017071811,12,233,26.158958000000023
2017072200,800000000,2464,0
2017072304,10,2311,3278.5700046634915
2017072400,16,1,1.162409
2017080122,6,14,10.989999752489851
2017080705,28,1448,0
2017081412,800000000,3913,0
2017081500,58,3,0.5472
2017081516,10,5027,7790.920065308114
2017070114,8,77,189.66999886997078
2017070808,19,4,0.02
2017070919,8,72,65.21999991883827
2017071508,12,27,7.3694370000000005
2017072414,31,1451,0
2017072511,6,14,22.69999999093278
2017072621,26,10,0.578172
2017073100,10,4819,5818.410025057509
2017080704,60,77486,20149.405312890725
2017081109,800000000,4389,
2017081309,16,6,7.073770000000001
2017081501,28,752,0
2017070223,60,118529,24857.828051035125
2017070904,26,7,0.5683339999999999
2017071020,28,1175,0
2017071604,19,24,0.5900000000000002
2017071715,8,100,116.1299987210314
2017072208,6,9,7.880000069182088
2017072304,12,405,52.88277099999996
2017072318,26,8,0.6518839999999999
2017072620,58,1,0
2017073018,19,5,0.133377
2017080122,8,56,64.35000170742666
2017080816,19,2,0.04
2017081500,60,134121,29518.638030194455
2017081516,12,136,27.829474000000005
2017070114,10,5384,8632.340056584775
2017070808,21,2,4.950000122764241
2017070815,800000000,3171,0
2017070919,10,5042,7908.400024932469
2017071700,26,20,0.9266119999999998
2017072400,19,24,0.30000000000000004
2017072511,8,52,74.1600001474692
2017072621,28,1054,0
2017073004,6,18,24.89000022738303
2017073100,12,202,28.412854000000006
2017073114,26,3,0.43839900000000004
2017080705,31,1920,0
2017080802,6,16,24.950000028482687
2017080912,26,2,
2017070321,6,36,67.26000230102399
2017070904,28,975,0
2017071604,21,3,0.46000002921726646
2017071611,800000000,3437,0
2017071715,10,7465,11855.599959458203
2017071811,16,4,2.756141
2017072208,8,12,14.300000396365599
2017072318,28,951,0
